"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"298";"Eleições Gerais Estaduais 2018";"28/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"3";"Governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"3";"Governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"4";"Vice-governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"5";"Senador";"2"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"6";"Deputado Federal";"8"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"7";"Deputado Estadual";"24"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"9";"1. Suplente";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"MS";"MS";"MATO GROSSO DO SUL";"10";"2. Suplente";"1"
